"ID","smoke","alcohol","csp"
"EU938080.6.8.1996.RU","fumer modéré","occasionnellement","Professions Intermédiaires"
"U93613.8.9.1996.RU","fumeur léger","régulièrement","Professions Intermédiaires"
"U33097.24.7.1996.RU","fumeur léger","régulièrement","Cadres et professions intellectuelles supérieures"
"U93615.15.7.1996.RU","fumeur léger","quotidiennement","Employés"
"U93641.25.7.1996.RU","fumeur léger","quotidiennement","Ouvriers"
"U93618.10.9.1996.RU","gros fumeur","occasionnellement","Employés"
"U93634.14.7.1996.RU","fumeur léger","quotidiennement","Cadres et professions intellectuelles supérieures"
"U93657.23.7.1996.RU","fumeur occasionnel","régulièrement","Employés"
"U93612.1.7.1996.RU","fumeur occasionnel","régulièrement","Employés"
"U93624.3.9.1996.RU","fumeur occasionnel","régulièrement","Employés"
"MK029298.26.9.1996.RU","fumeur occasionnel","occasionnellement","Cadres et professions intellectuelles supérieures"
"U93656.12.7.1996.RU","fumer modéré","quotidiennement","Cadres et professions intellectuelles supérieures"
