"ID","smoke","alcohol","csp"
"AY618596.16.5.1997.RU","fumer modéré","régulièrement","Professions Intermédiaires"
"EU938092.11.6.1997.RU","fumeur léger","quotidiennement","Employés"
"KR493351.7.5.1997.RU","fumeur léger","occasionnellement","Cadres et professions intellectuelles supérieures"
"KR493350.26.4.1997.RU","fumeur léger","quotidiennement","Cadres et professions intellectuelles supérieures"
"FJ437009.21.5.1997.RU","fumer modéré","occasionnellement","Cadres et professions intellectuelles supérieures"
"AF170649.8.6.1997.RU","fumer modéré","régulièrement","Employés"
"AF170659.23.5.1997.RU","fumer modéré","occasionnellement","Cadres et professions intellectuelles supérieures"
"AF170661.17.6.1997.RU","fumer modéré","régulièrement","Cadres et professions intellectuelles supérieures"
"AF170646.25.6.1997.RU","fumeur léger","quotidiennement","Employés"
"MK029236.21.5.1997.RU","gros fumeur","jamais","Cadres et professions intellectuelles supérieures"
"AF051506.19.6.1997.RU","gros fumeur","régulièrement","Cadres et professions intellectuelles supérieures"
"KU714968.14.5.1997.RU","gros fumeur","régulièrement","Professions Intermédiaires"
"MG428650.2.6.1997.RU","fumer modéré","occasionnellement","Cadres et professions intellectuelles supérieures"
"FJ490708.18.5.1997.RU","fumeur occasionnel","occasionnellement","Ouvriers"
"AF170662.17.4.1997.RU","fumeur léger",NA,"Professions Intermédiaires"
"KF747714.27.6.1997.RU","gros fumeur",NA,"Cadres et professions intellectuelles supérieures"
"MK029315.10.5.1997.RU","fumer modéré",NA,"Ouvriers"
"EU345936.1.6.1997.RU","fumer modéré","quotidiennement","Employés"
"MK029173.24.6.1997.RU","fumeur occasionnel","régulièrement","Cadres et professions intellectuelles supérieures"
"AF051495.18.4.1997.RU","fumer modéré","quotidiennement","Ouvriers"
"KU714966.24.6.1997.RU","fumeur occasionnel","régulièrement","Professions Intermédiaires"
"EU938085.19.6.1997.RU","fumeur léger","quotidiennement","Agriculteurs exploitants"
"AF170629.6.4.1997.RU","fumer modéré","jamais","Employés"
"MK029248.12.6.1997.RU","fumer modéré",NA,"Ouvriers"
"FJ490709.26.4.1997.RU","fumer modéré","jamais","Employés"
