"ID","smoke","alcohol","csp"
"AY721643.16.3.1996.DK","non-fumeur","jamais","Cadres et professions intellectuelles supérieures"
"DQ308268.10.1.1996.DK","fumeur occasionnel",NA,"Employés"
"DQ308267.14.1.1996.DK","fumeur occasionnel","jamais","Artisans, commerçants et chefs d’entreprise"
"AY721651.21.1.1996.DK","fumeur léger","jamais","Agriculteurs exploitants"
"AY721649.10.2.1996.DK","fumer modéré","quotidiennement","Ouvriers"
"AY721630.7.2.1996.DK","fumeur léger","quotidiennement","Ouvriers"
"DQ307860.7.2.1996.DK","fumer modéré",NA,"Professions Intermédiaires"
"DQ308130.18.1.1996.DK","fumeur occasionnel","occasionnellement","Professions Intermédiaires"
"AY721646.7.1.1996.DK","fumeur léger","jamais","Cadres et professions intellectuelles supérieures"
"AY721642.27.1.1996.DK","fumeur occasionnel","régulièrement","Professions Intermédiaires"
"DQ307854.2.3.1996.DK","non-fumeur","occasionnellement","Artisans, commerçants et chefs d’entreprise"
"AF191484.14.2.1996.DK","fumer modéré","occasionnellement","Professions Intermédiaires"
"AY721650.2.2.1996.DK","fumeur occasionnel","occasionnellement","Cadres et professions intellectuelles supérieures"
"DQ307950.24.2.1996.DK","fumeur occasionnel","quotidiennement","Employés"
