"ID","smoke","alcohol","csp"
"AF191388.21.2.1995.DK","fumeur léger","occasionnellement","Cadres et professions intellectuelles supérieures"
"AF191425.19.2.1995.DK","fumer modéré","occasionnellement","Professions Intermédiaires"
"AF191391.24.1.1995.DK","non-fumeur","jamais","Agriculteurs exploitants"
"DQ308127.7.3.1995.DK","gros fumeur","régulièrement","Cadres et professions intellectuelles supérieures"
"AF191482.16.2.1995.DK","fumeur léger","occasionnellement","Ouvriers"
"DQ308165.5.2.1995.DK","fumeur léger","occasionnellement","Ouvriers"
"AF191354.10.2.1995.DK","fumeur léger","régulièrement","Employés"
"AF191420.27.2.1995.DK","gros fumeur",NA,"Employés"
"DQ308162.14.1.1995.DK","gros fumeur",NA,"Professions Intermédiaires"
"AF191431.3.1.1995.DK","fumeur léger","occasionnellement","Employés"
"DQ308290.14.2.1995.DK","gros fumeur","jamais","Employés"
"AF191487.16.3.1995.DK","fumer modéré","jamais","Cadres et professions intellectuelles supérieures"
"DQ308129.25.1.1995.DK","non-fumeur","jamais","Cadres et professions intellectuelles supérieures"
"DQ308113.15.3.1995.DK","fumeur léger","quotidiennement","Employés"
"DQ308164.6.3.1995.DK","fumeur occasionnel","occasionnellement","Artisans, commerçants et chefs d’entreprise"
