"ID","smoke","alcohol","csp"
"GQ390662.27.3.1997.DE","fumeur léger","jamais","Artisans, commerçants et chefs d’entreprise"
"GQ390687.25.1.1997.DE","fumer modéré","occasionnellement","Employés"
"GQ390658.22.2.1997.DE","fumeur léger","occasionnellement","Employés"
"GQ390695.9.3.1997.DE","fumeur occasionnel","jamais","Artisans, commerçants et chefs d’entreprise"
"GQ390652.10.2.1997.DE","fumer modéré","quotidiennement","Employés"
"GQ390673.14.2.1997.DE","fumeur léger","régulièrement","Ouvriers"
"GQ390692.10.2.1997.DE","fumer modéré",NA,"Employés"
"GQ390667.25.1.1997.DE","fumeur occasionnel","jamais","Cadres et professions intellectuelles supérieures"
"GQ390657.13.3.1997.DE","fumeur léger","occasionnellement","Employés"
"GQ390686.21.1.1997.DE","fumeur occasionnel","jamais","Artisans, commerçants et chefs d’entreprise"
"GQ390668.18.3.1997.DE","fumeur occasionnel","occasionnellement","Cadres et professions intellectuelles supérieures"
"GQ390688.18.1.1997.DE","fumer modéré","jamais","Ouvriers"
