"ID","smoke","alcohol","csp"
"AF397928.16.9.1993.SE","fumer modéré","régulièrement","Employés"
"AF397963.21.9.1993.SE","gros fumeur","quotidiennement","Ouvriers"
"AF397937.2.9.1993.SE","fumer modéré","occasionnellement","Professions Intermédiaires"
"AF397941.23.9.1993.SE","gros fumeur","quotidiennement","Cadres et professions intellectuelles supérieures"
"AY619749.12.7.1993.SE","gros fumeur","quotidiennement","Ouvriers"
"L40747.8.7.1993.SE","gros fumeur","quotidiennement","Professions Intermédiaires"
"AF397938.28.7.1993.SE","fumeur léger","régulièrement","Employés"
"AF397939.8.7.1993.SE","gros fumeur","quotidiennement","Ouvriers"
"AF397966.16.7.1993.SE","non-fumeur","occasionnellement","Agriculteurs exploitants"
"AY619758.21.7.1993.SE","gros fumeur",NA,"Cadres et professions intellectuelles supérieures"
