"ID","smoke","alcohol","csp"
"AF397945.7.6.1993.SE","fumer modéré",NA,"Employés"
"AF397920.7.5.1993.SE","fumer modéré",NA,"Professions Intermédiaires"
"AF397948.13.6.1993.SE","fumeur occasionnel","occasionnellement","Cadres et professions intellectuelles supérieures"
"AF397933.10.6.1993.SE","fumeur léger","régulièrement","Professions Intermédiaires"
"AF397960.16.4.1993.SE","fumeur occasionnel","jamais","Employés"
"AF397935.16.6.1993.SE","gros fumeur",NA,"Cadres et professions intellectuelles supérieures"
"AF397964.10.5.1993.SE","fumer modéré","occasionnellement","Ouvriers"
"AF397950.3.4.1993.SE","fumer modéré","jamais","Cadres et professions intellectuelles supérieures"
"AF397969.28.5.1993.SE","gros fumeur",NA,"Professions Intermédiaires"
"AF397973.15.6.1993.SE","fumeur léger","jamais","Agriculteurs exploitants"
"AF397946.6.5.1993.SE","fumeur occasionnel","jamais","Artisans, commerçants et chefs d’entreprise"
"U76172.12.6.1993.SE","fumer modéré","quotidiennement","Employés"
"AF397919.3.5.1993.SE","gros fumeur",NA,"Professions Intermédiaires"
"AF397952.2.6.1993.SE","gros fumeur","régulièrement","Ouvriers"
"AF397949.13.6.1993.SE","fumeur léger","régulièrement","Employés"
"AF397972.23.6.1993.SE","fumeur occasionnel","jamais","Artisans, commerçants et chefs d’entreprise"
"MF373124.10.6.1993.SE","fumer modéré",NA,"Professions Intermédiaires"
"AF397953.19.6.1993.SE","fumeur léger","régulièrement","Cadres et professions intellectuelles supérieures"
"AF397934.10.5.1993.SE","fumeur léger","régulièrement","Ouvriers"
"AF397961.15.5.1993.SE","gros fumeur",NA,"Professions Intermédiaires"
"AF397940.3.4.1993.SE","fumeur léger","jamais","Employés"
"AF397967.23.6.1993.SE","fumeur occasionnel","quotidiennement","Cadres et professions intellectuelles supérieures"
"AF397951.7.4.1993.SE","fumer modéré","jamais","Ouvriers"
