"ID","smoke","alcohol","csp"
"AJ009057.10.9.1989.FR","gros fumeur",NA,"Employés"
"AJ008981.21.7.1989.FR","fumer modéré","quotidiennement","Artisans, commerçants et chefs d’entreprise"
"AJ008977.16.8.1989.FR","fumeur léger","régulièrement","Professions Intermédiaires"
"AJ008843.5.7.1989.FR","fumer modéré","régulièrement","Cadres et professions intellectuelles supérieures"
"AJ008982.10.7.1989.FR","fumeur léger","occasionnellement","Employés"
"AJ008851.8.7.1989.FR","fumeur léger","occasionnellement","Employés"
"AJ008762.15.7.1989.FR","gros fumeur",NA,"Cadres et professions intellectuelles supérieures"
"AJ008854.15.7.1989.FR","gros fumeur",NA,"Cadres et professions intellectuelles supérieures"
"AJ008849.2.7.1989.FR","fumeur léger","régulièrement","Cadres et professions intellectuelles supérieures"
"AJ008848.23.7.1989.FR","gros fumeur",NA,"Cadres et professions intellectuelles supérieures"
"AJ008755.16.7.1989.FR","fumeur occasionnel","régulièrement","Employés"
