"ID","smoke","alcohol","csp"
"AJ008761.23.2.1989.FR","fumeur léger","quotidiennement","Employés"
"AJ008985.23.1.1989.FR","fumer modéré","jamais","Ouvriers"
"AJ008984.16.1.1989.FR","fumer modéré",NA,"Employés"
"AJ008850.28.3.1989.FR","gros fumeur",NA,"Employés"
"AJ008976.11.3.1989.FR","gros fumeur","quotidiennement","Professions Intermédiaires"
"AJ009063.13.1.1989.FR","gros fumeur","quotidiennement","Employés"
"AJ008966.13.1.1989.FR","gros fumeur","quotidiennement","Cadres et professions intellectuelles supérieures"
"AJ008979.15.3.1989.FR","fumeur léger","occasionnellement","Ouvriers"
"AJ009067.19.1.1989.FR","gros fumeur","régulièrement","Professions Intermédiaires"
"AJ008847.16.3.1989.FR","non-fumeur","jamais","Artisans, commerçants et chefs d’entreprise"
"AJ009054.3.3.1989.FR","gros fumeur","régulièrement","Professions Intermédiaires"
"HF678999.12.1.1989.FR","fumeur léger","jamais","Cadres et professions intellectuelles supérieures"
