"ID","smoke","alcohol","csp"
"AJ008855.10.6.1989.FR","fumeur léger","jamais","Professions Intermédiaires"
"AJ008965.24.5.1989.FR","gros fumeur","jamais","Artisans, commerçants et chefs d’entreprise"
"AJ009060.6.5.1989.FR","fumer modéré","quotidiennement","Ouvriers"
"AJ009071.12.6.1989.FR","gros fumeur","régulièrement","Employés"
"AJ009059.7.6.1989.FR","fumer modéré","jamais","Employés"
"AJ008769.13.5.1989.FR","fumer modéré","quotidiennement","Cadres et professions intellectuelles supérieures"
"HF679019.21.5.1989.FR","gros fumeur","régulièrement","Artisans, commerçants et chefs d’entreprise"
"AJ008838.12.4.1989.FR","gros fumeur","quotidiennement","Professions Intermédiaires"
"AJ008765.7.4.1989.FR","fumeur occasionnel","jamais","Employés"
"AJ009070.28.6.1989.FR","non-fumeur","occasionnellement","Professions Intermédiaires"
"AJ008758.28.5.1989.FR","gros fumeur","quotidiennement","Employés"
"AJ008754.10.5.1989.FR","gros fumeur","quotidiennement","Cadres et professions intellectuelles supérieures"
"AJ009053.8.6.1989.FR","gros fumeur","régulièrement","Cadres et professions intellectuelles supérieures"
"AJ008836.24.6.1989.FR","fumeur léger","régulièrement","Employés"
"AY010405.15.6.1989.FR","fumer modéré","régulièrement","Professions Intermédiaires"
"AJ008856.28.4.1989.FR","fumeur léger","régulièrement","Cadres et professions intellectuelles supérieures"
"AJ008964.6.4.1989.FR","gros fumeur",NA,"Employés"
"AJ009066.2.4.1989.FR","fumeur léger","jamais","Employés"
"AJ008837.28.5.1989.FR","fumeur occasionnel",NA,"Employés"
"AJ009065.7.5.1989.FR","fumeur léger","quotidiennement","Professions Intermédiaires"
"AJ009061.24.5.1989.FR","fumer modéré","régulièrement","Cadres et professions intellectuelles supérieures"
"AJ009056.15.5.1989.FR","fumeur léger","quotidiennement","Professions Intermédiaires"
"AJ008974.28.6.1989.FR","fumer modéré","quotidiennement","Cadres et professions intellectuelles supérieures"
"AJ008752.21.6.1989.FR","fumer modéré","quotidiennement","Cadres et professions intellectuelles supérieures"
"AJ008970.2.6.1989.FR","fumer modéré",NA,"Ouvriers"
"AJ008844.21.6.1989.FR","fumer modéré","régulièrement","Cadres et professions intellectuelles supérieures"
"AJ008763.10.6.1989.FR","gros fumeur","quotidiennement","Professions Intermédiaires"
"AY010346.24.4.1989.FR","fumeur léger","quotidiennement","Ouvriers"
"AJ008969.7.5.1989.FR","gros fumeur","occasionnellement","Employés"
"AJ008973.24.6.1989.FR","fumer modéré","occasionnellement","Professions Intermédiaires"
"AJ008766.6.6.1989.FR","gros fumeur",NA,"Ouvriers"
"AJ009062.13.4.1989.FR","gros fumeur","quotidiennement","Cadres et professions intellectuelles supérieures"
