"ID","smoke","alcohol","csp"
"KF773440.9.1.1996.BE","fumer modéré",NA,"Employés"
"KF773159.10.2.1996.BE","non-fumeur","jamais","Agriculteurs exploitants"
"KF773437.10.1.1996.BE","fumer modéré",NA,"Employés"
"AJ228224.10.3.1996.BE","fumeur léger","régulièrement","Artisans, commerçants et chefs d’entreprise"
"AY749200.12.1.1996.BE","gros fumeur",NA,"Cadres et professions intellectuelles supérieures"
"KF773577.10.1.1996.BE","fumeur occasionnel","jamais","Artisans, commerçants et chefs d’entreprise"
"KF773432.25.1.1996.BE","fumer modéré","quotidiennement","Ouvriers"
"KF773206.5.3.1996.BE","fumer modéré","régulièrement","Professions Intermédiaires"
"KF773415.26.2.1996.BE","fumeur léger","régulièrement","Employés"
"KF773438.14.2.1996.BE","fumeur léger","jamais","Employés"
"KT863985.6.1.1996.BE","fumer modéré","régulièrement","Cadres et professions intellectuelles supérieures"
"KF773576.18.1.1996.BE","fumer modéré",NA,"Cadres et professions intellectuelles supérieures"
